model,colour,year,price
Toyota Camry,Red,2021,20000
Honda Civic,Blue,2019,18000
Ford Focus,Green,2018,15000
Nissan Altima,Black,2020,21000
Hyundai Elantra,White,2017,14000
Volkswagen Golf,Grey,2022,22000
BMW 3 Series,Yellow,2016,25000
Mercedes-Benz C-Class,Orange,2015,24000
Audi A4,Purple,2014,23000
Chevrolet Cruze,Brown,2013,13000
Mazda 6,Blue,2015,16000
Subaru Outback,Green,2019,19000
Kia Optima,White,2020,18000
Tesla Model 3,Black,2021,35000
Ford Mustang,Grey,2017,27000
Chevrolet Malibu,Red,2016,15000
Honda Accord,Yellow,2018,20000
Nissan Sentra,Orange,2014,12000
Toyota Corolla,Purple,2013,11000
Kia Soul,Brown,2020,16000
Subaru Impreza,Blue,2018,17000
Audi A3,Green,2019,28000
Mercedes-Benz E-Class,White,2017,33000
BMW X3,Black,2021,40000
Volvo XC60,Grey,2016,35000
Lexus RX,Yellow,2015,30000
Jaguar XF,Orange,2014,29000
Porsche 911,Purple,2020,55000
Acura TLX,Brown,2018,26000
Infiniti Q50,Blue,2017,25000
Cadillac ATS,Green,2016,24000
Tesla Model S,White,2021,70000
Toyota Prius,Black,2019,23000
Ford Explorer,Grey,2018,25000
Honda Pilot,Yellow,2017,22000
Nissan Rogue,Orange,2015,19000
Hyundai Santa Fe,Purple,2014,17000
Chevrolet Tahoe,Brown,2020,45000
GMC Yukon,Blue,2019,48000
Audi Q7,Green,2018,50000
